open,high,low,close,volume,vwap,timestamp,transactions,otc
140.01,144.9,139.73,144.47,229300628.0,143.4879,1735880400000,1745661,
148.59,152.156,147.8201,149.43,265356909.0,150.2312,1736139600000,2139589,
153.03,153.13,140.01,140.14,351724174.0,143.8269,1736226000000,3297977,
142.58,143.95,137.56,140.11,227288848.0,140.6542,1736312400000,1983809,
137.45,139.92,134.22,135.91,207559414.0,135.9072,1736485200000,1832774,
129.99,133.49,129.51,133.23,204581014.0,131.968,1736744400000,1886117,
136.05,136.38,130.05,131.76,195464885.0,132.2854,1736830800000,1712993,
133.65,136.45,131.29,136.24,185129838.0,134.8017,1736917200000,1417206,
138.64,138.75,133.49,133.57,208706783.0,135.6789,1737003600000,1535424,
136.69,138.5,135.4649,137.71,200876684.0,137.4125,1737090000000,1181513,
139.16,141.83,137.09,140.83,197696885.0,140.1354,1737435600000,1541529,
144.66,147.79,143.67,147.07,237617040.0,146.5479,1737522000000,1837716,
145.05,147.23,143.72,147.22,155909592.0,145.8489,1737608400000,1198400,
148.37,148.97,141.88,142.62,234644435.0,144.4259,1737694800000,1737314,
124.8,128.4,116.7,118.42,817690876.0,121.4207,1737954000000,7844390,
121.81,129.0,116.25,128.99,579493750.0,123.722,1738040400000,4800275,
126.5,126.89,120.05,123.7,466646840.0,123.3641,1738126800000,3656019,
123.1,125.0,118.1,124.65,392771367.0,121.5542,1738213200000,3255604,
123.78,127.85,119.19,120.07,388011099.0,123.4761,1738299600000,2869774,
114.75,118.57,113.01,116.66,369669577.0,116.093,1738558800000,3400284,
116.96,121.2,116.7,118.65,253381586.0,119.0145,1738645200000,1841335,
121.76,125.0,120.76,124.83,262825249.0,123.0795,1738731600000,1968156,
127.42,128.77,125.21,128.68,251483574.0,127.3498,1738818000000,1856074,
129.22,130.37,125.0,129.84,228121198.0,129.0684,1738904400000,1778852,
130.09,135.0,129.96,133.57,216895986.0,133.6323,1739163600000,1658353,
132.58,134.48,131.02,132.8,178900279.0,133.1242,1739250000000,1292630,
130.02,132.24,129.08,131.14,160278552.0,131.1577,1739336400000,1245659,
131.555,136.5,131.17,135.29,197334835.0,134.6768,1739422800000,1474251,
136.48,139.25,135.5,138.85,195435363.0,137.5593,1739509200000,1410262,
141.27,143.44,137.925,139.4,219173591.0,140.4075,1739854800000,1648112,
139.51,141.36,137.22,139.23,167524206.0,139.6633,1739941200000,1208217,
140.03,140.66,136.7901,140.11,143894123.0,139.1582,1740027600000,1109775,
140.04,141.46,134.03,134.43,228098935.0,137.2548,1740114000000,1612382,
136.56,138.59,130.08,130.28,251165137.0,133.3485,1740373200000,1967948,
129.98,130.2,124.44,126.63,271310011.0,127.5482,1740459600000,2393746,
