strike,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho
115.0,140.8,138.55,137.1,90,140.0,87,0,115.0,0.24422,0.56469,0.0366,-0.20886,0.17338,0.04164
115.0,0.0,0.01,0.0,0,0.2,105,0,115.0,0.24422,0.56469,0.0366,-0.20886,0.17338,0.04164
120.0,135.55,133.57,132.05,87,135.1,87,0,120.0,0.36342,-0.94589,0.01138,-0.10207,0.02916,-0.02809
120.0,0.0,0.01,0.0,0,0.2,104,0,120.0,0.36342,-0.94589,0.01138,-0.10207,0.02916,-0.02809
130.0,125.6,123.57,122.1,77,125.05,77,0,130.0,0.1491,0.97553,0.00117,-0.02246,0.18872,2.85477
130.0,0.0,0.01,0.0,0,0.02,8,0,130.0,0.1491,0.97553,0.00117,-0.02246,0.18872,2.85477
145.0,0.0,108.62,107.2,87,110.05,77,0,145.0,0.21038,-0.55541,0.01728,-0.04934,0.42943,-0.27971
145.0,0.0,108.62,107.2,87,110.05,77,0,145.0,0.2276,0.47628,0.00532,-0.03587,1.30927,1.63717
145.0,0.0,0.01,0.0,0,0.02,8,0,145.0,0.21038,-0.55541,0.01728,-0.04934,0.42943,-0.27971
145.0,0.0,0.01,0.0,0,0.02,8,0,145.0,0.2276,0.47628,0.00532,-0.03587,1.30927,1.63717
150.0,105.8,103.6,101.95,83,105.25,83,0,150.0,0.86127,-0.0015,0.00021,-0.01387,0.00129,-4e-05
150.0,0.0,0.01,0.0,0,0.02,8,0,150.0,0.86127,-0.0015,0.00021,-0.01387,0.00129,-4e-05
155.0,100.4,98.72,97.4,78,100.05,78,0,155.0,0.60778,0.00215,0.00042,-0.0137,0.0018,6e-05
155.0,0.0,0.01,0.0,0,0.02,8,0,155.0,0.60778,0.00215,0.00042,-0.0137,0.0018,6e-05
160.0,0.0,93.57,92.05,81,95.1,83,0,160.0,0.33339,-0.14786,0.00295,-0.02367,0.54164,-0.37963
160.0,0.0,0.01,0.0,0,0.02,8,0,160.0,0.33339,-0.14786,0.00295,-0.02367,0.54164,-0.37963
165.0,84.6,88.45,87.75,81,89.15,10,0,165.0,0.3561,-0.0827,0.0013,-0.01143,0.50116,-0.44305
165.0,0.0,0.01,0.0,0,0.02,8,0,165.0,0.3561,-0.0827,0.0013,-0.01143,0.50116,-0.44305
170.0,73.87,83.62,82.05,76,85.2,76,0,170.0,0.23492,0.07937,0.003,-0.0168,0.30964,0.12617
170.0,73.87,83.62,82.05,76,85.2,76,0,170.0,0.29986,-0.3726,0.00538,-0.02891,0.88759,-0.99046
170.0,0.0,0.01,0.0,0,0.03,8,0,170.0,0.23492,0.07937,0.003,-0.0168,0.30964,0.12617
170.0,0.0,0.01,0.0,0,0.03,8,0,170.0,0.29986,-0.3726,0.00538,-0.02891,0.88759,-0.99046
175.0,80.55,78.45,76.8,75,80.1,75,0,175.0,0.22028,-0.77789,0.0163,-0.04426,0.24689,-0.22936
175.0,0.0,0.01,0.0,0,0.16,81,0,175.0,0.22028,-0.77789,0.0163,-0.04426,0.24689,-0.22936
195.0,60.2,58.62,57.25,76,60.0,76,0,195.0,0.33263,-0.00051,3e-05,-0.00024,0.00377,-0.00095
195.0,0.01,0.01,0.0,0,0.3,318,1,195.0,0.33263,-0.00051,3e-05,-0.00024,0.00377,-0.00095
200.0,53.05,54.15,53.75,2,54.55,40,14,200.0,0.24757,-0.34724,0.03387,-0.17228,0.16265,-0.02733
200.0,53.05,54.15,53.75,2,54.55,40,14,200.0,0.29696,-0.482,0.00572,-0.02625,0.93476,-1.31382
200.0,0.01,0.01,0.01,25,0.02,4,312,200.0,0.24757,-0.34724,0.03387,-0.17228,0.16265,-0.02733
200.0,0.01,0.01,0.01,25,0.02,4,312,200.0,0.29696,-0.482,0.00572,-0.02625,0.93476,-1.31382
215.0,37.25,38.8,37.95,52,39.65,42,12,215.0,0.21205,0.05734,0.00654,-0.02759,0.09532,0.01509
215.0,37.25,38.8,37.95,52,39.65,42,12,215.0,0.28781,-0.31327,0.00738,-0.04317,0.59153,-0.39065
215.0,37.25,38.8,37.95,52,39.65,42,12,215.0,0.46418,-0.01722,0.00044,-0.00772,0.08931,-0.03451
215.0,0.03,0.05,0.01,1,0.09,201,9,215.0,0.21205,0.05734,0.00654,-0.02759,0.09532,0.01509
215.0,0.03,0.05,0.01,1,0.09,201,9,215.0,0.28781,-0.31327,0.00738,-0.04317,0.59153,-0.39065
215.0,0.03,0.05,0.01,1,0.09,201,9,215.0,0.46418,-0.01722,0.00044,-0.00772,0.08931,-0.03451
220.0,31.0,33.88,33.05,25,34.7,33,12,220.0,0.25382,0.61159,0.00905,-0.06728,0.63966,0.58029
