params,mean_train_score,mean_test_score
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 0.8, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9361616784942919,0.833508176488738
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 0.8, 'scale_pos_weight': 1, 'subsample': 0.9}",0.9366862079605061,0.8348040728170318
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 0.8, 'scale_pos_weight': np.float64(1.2289416846652268), 'subsample': 0.8}",0.9552298673248998,0.8664301141622957
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 0.8, 'scale_pos_weight': np.float64(1.2289416846652268), 'subsample': 0.9}",0.9568960197469916,0.8686207960506016
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'scale_pos_weight': 1, 'subsample': 0.8}",0.938012958963283,0.8368096266584388
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'scale_pos_weight': 1, 'subsample': 0.9}",0.9365936439370565,0.8250231410058624
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'scale_pos_weight': np.float64(1.2289416846652268), 'subsample': 0.8}",0.9547670472076519,0.8681271212588708
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'scale_pos_weight': np.float64(1.2289416846652268), 'subsample': 0.9}",0.9553532860228324,0.8615550755939525
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 0.8, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9371490280777538,0.83585313174946
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.03, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 0.8, 'scale_pos_weight': 1, 'subsample': 0.9}",0.9375809935205184,0.839185436593644
